"species";"status"
"Bombycilla garrulus";"Nicheur"
"Bombycilla cedrorum";"Nicheur"
"Passer domesticus";"Nicheur"
"Motacilla alba";"Visiteur (2)"
"Anthus rubescens";"Nicheur"
"Fringilla montifringilla";"Visiteur (1)"
"Coccothraustes vespertinus";"Nicheur"
"Pinicola enucleator";"Nicheur"
"Leucosticte tephrocotis";"Visiteur (5)"
"Haemorhous mexicanus";"Nicheur"
"Haemorhous purpureus";"Nicheur"
"Acanthis flammea";"Nicheur"
"Acanthis hornemanni";"Nicheur"
"Loxia curvirostra";"Nicheur"
"Loxia leucoptera";"Nicheur"
"Spinus pinus";"Nicheur"
"Spinus tristis";"Nicheur"
"Calcarius lapponicus";"Nicheur"
"Calcarius pictus";"Visiteur (2)"
"Plectrophenax nivalis";"Nicheur"
"Ammodramus savannarum";"Nicheur"
"Amphispiza bilineata";"Visiteur (1)"
"Chondestes grammacus";"Visiteur"
"Calamospiza melanocorys";"Visiteur (19)"
"Spizella passerina";"Nicheur"
"Spizella pallida";"Nicheur"
"Spizella pusilla";"Nicheur"
"Spizella breweri";"Visiteur (1)"
"Passerella iliaca";"Nicheur"
"Spizelloides arborea";"Nicheur"
"Junco hyemalis";"Nicheur"
"Zonotrichia leucophrys";"Nicheur"
"Zonotrichia atricapilla";"Visiteur (4)"
"Zonotrichia querula";"Visiteur"
"Zonotrichia albicollis";"Nicheur"
"Pooecetes gramineus";"Nicheur"
"Ammodramus leconteii";"Nicheur"
"Ammospiza maritima";"Visiteur (1)"
"Ammodramus nelsoni";"Nicheur"
"Centronyx henslowii";"Nicheur (13)"
"Passerculus sandwichensis";"Nicheur"
"Melospiza melodia";"Nicheur"
"Melospiza lincolnii";"Nicheur"
"Melospiza georgiana";"Nicheur"
"Pipilo chlorurus";"Visiteur (2)"
"Pipilo maculatus";"Visiteur (24)"
"Pipilo erythrophthalmus";"Nicheur"
"Icteria virens";"Visiteur"
"Xanthocephalus xanthocephalus";"Visiteur"
"Dolichonyx oryzivorus";"Nicheur"
"Sturnella magna";"Nicheur"
"Sturnella neglecta";"Nicheur"
"Icterus spurius";"Nicheur"
"Icterus cucullatus";"Visiteur (4)"
"Icterus bullockii";"Visiteur (6)"
"Icterus galbula";"Nicheur"
"Agelaius phoeniceus";"Nicheur"
"Molothrus ater";"Nicheur"
"Euphagus carolinus";"Nicheur"
"Euphagus cyanocephalus";"Visiteur (6)"
"Quiscalus quiscula";"Nicheur"
"Seiurus aurocapilla";"Nicheur"
"Helmitheros vermivorum";"Visiteur"
"Parkesia motacilla";"Nicheur"
"Parkesia noveboracensis";"Nicheur"
"Vermivora chrysoptera";"Nicheur"
"Vermivora cyanoptera";"Nicheur"
"Mniotilta varia";"Nicheur"
"Protonotaria citrea";"Visiteur (22)"
"Oreothlypis peregrina";"Nicheur"
"Oreothlypis celata";"Nicheur"
"Oreothlypis ruficapilla";"Nicheur"
"Oporornis agilis";"Nicheur"
"Geothlypis philadelphia";"Nicheur"
"Geothlypis formosa";"Visiteur (9)"
"Geothlypis trichas";"Nicheur"
"Setophaga citrina";"Visiteur"
"Setophaga ruticilla";"Nicheur"
"Setophaga kirtlandii";"Visiteur (2)"
"Setophaga tigrina";"Nicheur"
"Setophaga cerulea";"Nicheur"
"Setophaga americana";"Nicheur"
"Setophaga magnolia";"Nicheur"
"Setophaga castanea";"Nicheur"
"Setophaga fusca";"Nicheur"
"Setophaga petechia";"Nicheur"
"Setophaga pensylvanica";"Nicheur"
"Setophaga striata";"Nicheur"
"Setophaga caerulescens";"Nicheur"
"Setophaga palmarum";"Nicheur"
"Setophaga pinus";"Nicheur"
"Setophaga coronata";"Nicheur"
"Setophaga dominica";"Visiteur"
"Setophaga discolor";"Visiteur"
"Setophaga nigrescens";"Visiteur (7)"
"Setophaga townsendi";"Visiteur (3)"
"Setophaga occidentalis";"Visiteur (2)"
"Setophaga virens";"Nicheur"
"Cardellina canadensis";"Nicheur"
"Cardellina pusilla";"Nicheur"
"Myioborus pictus";"Visiteur (2)"
"Piranga flava";"Visiteur (1)"
"Piranga rubra";"Visiteur"
"Piranga olivacea";"Nicheur"
"Piranga ludoviciana";"Visiteur"
"Cardinalis cardinalis";"Nicheur"
"Pheucticus ludovicianus";"Nicheur"
"Pheucticus melanocephalus";"Visiteur (8)"
"Passerina caerulea";"Visiteur"
"Passerina amoena";"Visiteur (5)"
"Passerina cyanea";"Nicheur"
"Passerina ciris";"Visiteur (30)"
"Spiza americana";"Visiteur"
